"Based on these 3 tables, fill in column Seller area, Buyer area, Buyer in Urban/Rural, Route and estimated shipping fee",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Table 1: Area and Urban/Rural definition,,,,,,,,,,,,,,,
state,city,urban_rural,area,,Table 2: Route definition,,,,,,,,,,
An Giang,Thành Ph? Long Xuyên,Urban,Southern area,,,from_area,,,,,,,,,
An Giang,Huy?n An Phú,Rural,Southern area,,to_area,HN,HCM,?N,Northern area,Central area,Southern area,,,,
An Giang,Huy?n Châu Phú,Rural,Southern area,,HN,Intra city,Special same region,Special same region,Intra region,Cross region,Cross region,,,,
An Giang,Huy?n Châu Thành,Rural,Southern area,,HCM,Special same region,Intra city,Special same region,Cross region,Cross region,Intra region,,,,
An Giang,Huy?n Ch? M?i,Rural,Southern area,,?N,Special same region,Special same region,Intra city,Cross region,Intra region,Cross region,,,,
An Giang,Thành Ph? Châu ??c,Urban,Southern area,,Northern area,Intra region,Cross region,Cross region,Intra region t?nh,Cross region t?nh,Cross region t?nh,,,,
An Giang,Huy?n Phú Tân,Rural,Southern area,,Central area,Cross region,Cross region,Intra region,Cross region t?nh,Intra region t?nh,Cross region t?nh,,,,
An Giang,Th? Xã Tân Châu,Rural,Southern area,,Southern area,Cross region,Intra region,Cross region,Cross region t?nh,Cross region t?nh,Intra region t?nh,,,,
An Giang,Huy?n Tho?i S?n,Rural,Southern area,,,,,,,,,,,,
An Giang,Huy?n T?nh Biên,Rural,Southern area,,,,,,,,,,,,
An Giang,Huy?n Tri Tôn,Rural,Southern area,,Table 3: Estimated shipping fee,,,,,,,,,,
Bà R?a - V?ng Tàu,Thành Ph? V?ng Tàu,Urban,Southern area,,,route,,,,,,,,,
Bà R?a - V?ng Tàu,Huy?n Châu ??c,Rural,Southern area,,weight_range,Intra city,Intra region,Intra region t?nh,Cross region,Cross region t?nh,Special same region,,,,
Bà R?a - V?ng Tàu,Huy?n ??t ??,Rural,Southern area,,0-3000 gr,50,51,52,53,54,55,,,,
Bà R?a - V?ng Tàu,Thành Ph? Bà R?a,Urban,Southern area,,3001 - 6000 gr,500,510,520,530,540,550,,,,
Bà R?a - V?ng Tàu,Huy?n Long ?i?n,Rural,Southern area,,6001- 15000 gr,1000,1020,1040,1060,1080,1100,,,,
Bà R?a - V?ng Tàu,Th? xã Phú M?,Rural,Southern area,,>15000 gr,5000,5100,5200,5300,5400,5500,,,,
Bà R?a - V?ng Tàu,Huy?n Xuyên M?c,Rural,Southern area,,,,,,,,,,,,
B?c Giang,Huy?n Hi?p Hòa,Rural,Northern area,,,,,,,,,,,,
B?c Giang,Huy?n L?ng Giang,Rural,Northern area,,,,,,,,,,,,
B?c Giang,Huy?n L?c Nam,Rural,Northern area,,,,,,,,,,,,
B?c Giang,Huy?n L?c Ng?n,Rural,Northern area,,,,,,,,,,,,
B?c Giang,Huy?n S?n ??ng,Rural,Northern area,,,,,,,,,,,,
B?c Giang,Huy?n Tân Yên,Rural,Northern area,,,,,,,,,,,,
B?c Giang,Thành Ph? B?c Giang,Urban,Northern area,,,,,,,,,,,,
B?c Giang,Huy?n Vi?t Yên,Rural,Northern area,,,,,,,,,,,,
B?c Giang,Huy?n Yên D?ng,Rural,Northern area,,,,,,,,,,,,
B?c Giang,Huy?n Yên Th?,Rural,Northern area,,,,,,,,,,,,
B?c K?n,Huy?n Ba B?,Rural,Northern area,,,,,,,,,,,,
B?c K?n,Huy?n B?ch Thông,Rural,Northern area,,,,,,,,,,,,
B?c K?n,Huy?n Ch? ??n,Rural,Northern area,,,,,,,,,,,,
B?c K?n,Huy?n Ch? M?i,Rural,Northern area,,,,,,,,,,,,
B?c K?n,Huy?n Na Rì,Rural,Northern area,,,,,,,,,,,,
B?c K?n,Huy?n Ngân S?n,Rural,Northern area,,,,,,,,,,,,
B?c K?n,Thành Ph? B?c K?n,Urban,Northern area,,,,,,,,,,,,
B?c K?n,Huy?n P?c N?m,Rural,Northern area,,,,,,,,,,,,
B?c Liêu,Thành Ph? B?c Liêu,Urban,Southern area,,,,,,,,,,,,
B?c Liêu,Huy?n ?ông H?i,Rural,Southern area,,,,,,,,,,,,
B?c Liêu,Th? Xã Giá Rai,Rural,Southern area,,,,,,,,,,,,
B?c Liêu,Huy?n Hòa Bình,Rural,Southern area,,,,,,,,,,,,
B?c Liêu,Huy?n H?ng Dân,Rural,Southern area,,,,,,,,,,,,
B?c Liêu,Huy?n Ph??c Long,Rural,Southern area,,,,,,,,,,,,
B?c Liêu,Huy?n V?nh L?i,Rural,Southern area,,,,,,,,,,,,
B?c Ninh,Thành Ph? B?c Ninh,Urban,Northern area,,,,,,,,,,,,
B?c Ninh,Huy?n Gia Bình,Rural,Northern area,,,,,,,,,,,,
B?c Ninh,Huy?n L??ng Tài,Rural,Northern area,,,,,,,,,,,,
B?c Ninh,Th? Xã T? S?n,Rural,Northern area,,,,,,,,,,,,
B?c Ninh,Huy?n Qu? Võ,Rural,Northern area,,,,,,,,,,,,
B?c Ninh,Huy?n Thu?n Thành,Rural,Northern area,,,,,,,,,,,,
B?c Ninh,Huy?n Tiên Du,Rural,Northern area,,,,,,,,,,,,
B?c Ninh,Huy?n Yên Phong,Rural,Northern area,,,,,,,,,,,,
B?n Tre,Thành Ph? B?n Tre,Urban,Southern area,,,,,,,,,,,,
B?n Tre,Huy?n Ba Tri,Rural,Southern area,,,,,,,,,,,,
B?n Tre,Huy?n Bình ??i,Rural,Southern area,,,,,,,,,,,,
B?n Tre,Huy?n Châu Thành,Rural,Southern area,,,,,,,,,,,,
B?n Tre,Huy?n Ch? Lách,Rural,Southern area,,,,,,,,,,,,
B?n Tre,Huy?n Gi?ng Trôm,Rural,Southern area,,,,,,,,,,,,
B?n Tre,Huy?n M? Cày B?c,Rural,Southern area,,,,,,,,,,,,
B?n Tre,Huy?n M? Cày Nam,Rural,Southern area,,,,,,,,,,,,
B?n Tre,Huy?n Th?nh Phú,Rural,Southern area,,,,,,,,,,,,
Bình ??nh,Huy?n An Lão,Rural,Central area,,,,,,,,,,,,
Bình ??nh,Huy?n Hoài Ân,Rural,Central area,,,,,,,,,,,,
Bình ??nh,Huy?n Hoài Nh?n,Rural,Central area,,,,,,,,,,,,
Bình ??nh,Huy?n Phù Cát,Rural,Central area,,,,,,,,,,,,
Bình ??nh,Huy?n Phù M?,Rural,Central area,,,,,,,,,,,,
Bình ??nh,Huyên Tây S?n,Rural,Central area,,,,,,,,,,,,
Bình ??nh,Huy?n Tuy Ph??c,Rural,Central area,,,,,,,,,,,,
Bình ??nh,Huy?n Vân Canh,Rural,Central area,,,,,,,,,,,,
Bình ??nh,Huy?n V?nh Th?nh,Rural,Central area,,,,,,,,,,,,
Bình ??nh,Thành Ph? Quy Nh?n,Urban,Central area,,,,,,,,,,,,
Bình ??nh,Huy?n An Nh?n,Rural,Central area,,,,,,,,,,,,
Bình D??ng,Thành Ph? Th? D?u M?t,Urban,Southern area,,,,,,,,,,,,
Bình D??ng,Th? Xã D? An,Rural,Southern area,,,,,,,,,,,,
Bình D??ng,Th? Xã Thu?n An,Rural,Southern area,,,,,,,,,,,,
Bình D??ng,Th? Xã Tân Uyên,Rural,Southern area,,,,,,,,,,,,
Bình D??ng,Th? Xã B?n Cát,Rural,Southern area,,,,,,,,,,,,
Bình D??ng,Huy?n B?c Tân Uyên,Rural,Southern area,,,,,,,,,,,,
Bình D??ng,Huy?n Bàu Bàng,Rural,Southern area,,,,,,,,,,,,
Bình D??ng,Huy?n D?u Ti?ng,Rural,Southern area,,,,,,,,,,,,
Bình D??ng,Huy?n Phú Giáo,Rural,Southern area,,,,,,,,,,,,
Bình Ph??c,Huy?n Bù ??ng,Rural,Southern area,,,,,,,,,,,,
Bình Ph??c,Huy?n Bù ??p,Rural,Southern area,,,,,,,,,,,,
Bình Ph??c,Huy?n Bù Gia M?p,Rural,Southern area,,,,,,,,,,,,
Bình Ph??c,Th? Xã ??ng Xoài,Urban,Southern area,,,,,,,,,,,,
Bình Ph??c,Huy?n Ch?n Thành,Rural,Southern area,,,,,,,,,,,,
Bình Ph??c,Huy?n ??ng Phú,Rural,Southern area,,,,,,,,,,,,
Bình Ph??c,Th? Xã Bình Long,Rural,Southern area,,,,,,,,,,,,
Bình Ph??c,Th? Xã Ph??c Long,Rural,Southern area,,,,,,,,,,,,
Bình Ph??c,Huy?n H?n Qu?n,Rural,Southern area,,,,,,,,,,,,
Bình Ph??c,Huy?n L?c Ninh,Rural,Southern area,,,,,,,,,,,,
Bình Ph??c,Huy?n Phú Ri?ng,Rural,Southern area,,,,,,,,,,,,
Bình Thu?n,Thành Ph? Phan Thi?t,Urban,Central area,,,,,,,,,,,,
Bình Thu?n,Huy?n B?c Bình,Rural,Central area,,,,,,,,,,,,
Bình Thu?n,Huy?n Phú Quý,Rural,Central area,,,,,,,,,,,,
Bình Thu?n,Th? Xã La Gi,Rural,Central area,,,,,,,,,,,,
Bình Thu?n,Huy?n ??c Linh,Rural,Central area,,,,,,,,,,,,
Bình Thu?n,Huy?n Hàm Tân,Rural,Central area,,,,,,,,,,,,
Bình Thu?n,Huy?n Hàm Thu?n B?c,Rural,Central area,,,,,,,,,,,,
Bình Thu?n,Huy?n Hàm Thu?n Nam,Rural,Central area,,,,,,,,,,,,
Bình Thu?n,Huy?n Tánh Linh,Rural,Central area,,,,,,,,,,,,
