"Based on SLA Table, fill in column SLA Delivery and SLA Return. Then calculate leadtime delivery and leadtime return by:",,,,,,,,,,,,,,,
"- If order is delivered successfully, Leadtime delivery = Delivery done - Pickup done. If not, leave Blank ",,,,,,,,,,,,,,,
"- If order is returned successfully, Leadtime return = Return completed  - Return initiated. If not, leave Blank",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Table 4: SLA (Sevice Level Agreement) leadtime by hour,,,,,,,,,,,,,,,
seller_state,buyer_state,if_both_seller_and_buyer_in_urban,if_buyer_or_seller_in_rural,,,,,,,,,,,,
An Giang,An Giang,24,72,,,,,,,,,,,,
C?n Th?,An Giang,48,96,,,,,,,,,,,,
??ng Tháp,An Giang,54,102,,,,,,,,,,,,
Hâ?u Giang,An Giang,48,96,,,,,,,,,,,,
Kiên Giang,An Giang,48,96,,,,,,,,,,,,
V?nh Long,An Giang,54,102,,,,,,,,,,,,
B?c Giang,An Giang,84,120,,,,,,,,,,,,
B?c K?n,An Giang,84,120,,,,,,,,,,,,
B?c Ninh,An Giang,84,120,,,,,,,,,,,,
Bình ??nh,An Giang,84,120,,,,,,,,,,,,
Bình Thu?n,An Giang,84,120,,,,,,,,,,,,
Cao B?ng,An Giang,84,120,,,,,,,,,,,,
?à N?ng,An Giang,84,120,,,,,,,,,,,,
??k L?k,An Giang,84,120,,,,,,,,,,,,
??k Nông,An Giang,78,114,,,,,,,,,,,,
?i?n Biên,An Giang,84,120,,,,,,,,,,,,
Gia Lai,An Giang,78,114,,,,,,,,,,,,
Hà Giang,An Giang,84,120,,,,,,,,,,,,
Hà Nam,An Giang,84,120,,,,,,,,,,,,
Hà N?i,An Giang,84,120,,,,,,,,,,,,
Hà T?nh,An Giang,84,120,,,,,,,,,,,,
H?i D??ng,An Giang,78,114,,,,,,,,,,,,
H?i Phòng,An Giang,78,114,,,,,,,,,,,,
TP. H? Chí Minh,An Giang,66,102,,,,,,,,,,,,
Hòa Bình,An Giang,84,120,,,,,,,,,,,,
H?ng Yên,An Giang,78,114,,,,,,,,,,,,
Khánh Hòa,An Giang,78,114,,,,,,,,,,,,
Kon Tum,An Giang,84,120,,,,,,,,,,,,
